parent_type,parent_documentId,relation,db_count,rendered_count,pass
hotel,ln0gj8rlj4rxumo7x99iy8ve,rooms (listing page),3,0,false
hotel,ln0gj8rlj4rxumo7x99iy8ve,rooms (hotel root),3,0,false
hotel,ln0gj8rlj4rxumo7x99iy8ve,dinings (listing page),2,2,true
hotel,ln0gj8rlj4rxumo7x99iy8ve,dinings (hotel root),2,0,false
hotel,ln0gj8rlj4rxumo7x99iy8ve,banquets (listing page),2,2,true
hotel,ln0gj8rlj4rxumo7x99iy8ve,banquets (hotel root),2,2,true
hotel,ln0gj8rlj4rxumo7x99iy8ve,"hotel_galleries (gallery page, capped at 48)",10,11,true
hotel,mw8ueg6zyc37gcywhrm1qmks,rooms (listing page),3,0,false
hotel,mw8ueg6zyc37gcywhrm1qmks,rooms (hotel root),3,0,false
hotel,mw8ueg6zyc37gcywhrm1qmks,dinings (listing page),2,2,true
hotel,mw8ueg6zyc37gcywhrm1qmks,dinings (hotel root),2,0,false
hotel,mw8ueg6zyc37gcywhrm1qmks,banquets (listing page),2,2,true
hotel,mw8ueg6zyc37gcywhrm1qmks,banquets (hotel root),2,2,true
hotel,mw8ueg6zyc37gcywhrm1qmks,"hotel_galleries (gallery page, capped at 48)",10,11,true
hotel,tuc0lt9c0l0na2pxpdrgpjcy,rooms (listing page),3,0,false
hotel,tuc0lt9c0l0na2pxpdrgpjcy,rooms (hotel root),3,0,false
hotel,tuc0lt9c0l0na2pxpdrgpjcy,dinings (listing page),2,2,true
hotel,tuc0lt9c0l0na2pxpdrgpjcy,dinings (hotel root),2,0,false
hotel,tuc0lt9c0l0na2pxpdrgpjcy,banquets (listing page),2,2,true
hotel,tuc0lt9c0l0na2pxpdrgpjcy,banquets (hotel root),2,2,true
hotel,tuc0lt9c0l0na2pxpdrgpjcy,"hotel_galleries (gallery page, capped at 48)",10,11,true
hotel,ievhz3zi8m0wnimukmab9sf3,rooms (listing page),3,0,false
hotel,ievhz3zi8m0wnimukmab9sf3,rooms (hotel root),3,0,false
hotel,ievhz3zi8m0wnimukmab9sf3,dinings (listing page),2,2,true
hotel,ievhz3zi8m0wnimukmab9sf3,dinings (hotel root),2,0,false
hotel,ievhz3zi8m0wnimukmab9sf3,banquets (listing page),2,2,true
hotel,ievhz3zi8m0wnimukmab9sf3,banquets (hotel root),2,2,true
hotel,ievhz3zi8m0wnimukmab9sf3,"hotel_galleries (gallery page, capped at 48)",10,11,true
hotel,h956jqot2rkpm49hmtisj2y2,rooms (listing page),3,0,false
hotel,h956jqot2rkpm49hmtisj2y2,rooms (hotel root),3,0,false
hotel,h956jqot2rkpm49hmtisj2y2,dinings (listing page),2,2,true
hotel,h956jqot2rkpm49hmtisj2y2,dinings (hotel root),2,0,false
hotel,h956jqot2rkpm49hmtisj2y2,banquets (listing page),2,2,true
hotel,h956jqot2rkpm49hmtisj2y2,banquets (hotel root),2,2,true
hotel,h956jqot2rkpm49hmtisj2y2,"hotel_galleries (gallery page, capped at 48)",10,11,true
hotel,kjw454m5jgmcu0bczmcid856,rooms (listing page),5,0,false
hotel,kjw454m5jgmcu0bczmcid856,rooms (hotel root),5,0,false
hotel,kjw454m5jgmcu0bczmcid856,dinings (listing page),2,2,true
hotel,kjw454m5jgmcu0bczmcid856,dinings (hotel root),2,0,false
hotel,kjw454m5jgmcu0bczmcid856,banquets (listing page),3,3,true
hotel,kjw454m5jgmcu0bczmcid856,banquets (hotel root),3,3,true
hotel,kjw454m5jgmcu0bczmcid856,"hotel_galleries (gallery page, capped at 48)",56,49,true
hotel,vt2ug2ez0s8hya3j0oihwbrd,rooms (listing page),4,0,false
hotel,vt2ug2ez0s8hya3j0oihwbrd,rooms (hotel root),4,0,false
hotel,vt2ug2ez0s8hya3j0oihwbrd,dinings (listing page),1,1,true
hotel,vt2ug2ez0s8hya3j0oihwbrd,dinings (hotel root),1,0,false
hotel,vt2ug2ez0s8hya3j0oihwbrd,banquets (listing page),1,1,true
hotel,vt2ug2ez0s8hya3j0oihwbrd,banquets (hotel root),1,1,true
hotel,vt2ug2ez0s8hya3j0oihwbrd,attractions (listing page),1,1,true
hotel,vt2ug2ez0s8hya3j0oihwbrd,"hotel_galleries (gallery page, capped at 48)",2,3,true
hotel,rqhof3eo3ccww1itbquu765a,rooms (listing page),7,0,false
hotel,rqhof3eo3ccww1itbquu765a,rooms (hotel root),7,0,false
hotel,rqhof3eo3ccww1itbquu765a,dinings (listing page),2,2,true
hotel,rqhof3eo3ccww1itbquu765a,dinings (hotel root),2,0,false
hotel,rqhof3eo3ccww1itbquu765a,banquets (listing page),1,1,true
hotel,rqhof3eo3ccww1itbquu765a,banquets (hotel root),1,1,true
hotel,rqhof3eo3ccww1itbquu765a,attractions (listing page),1,1,true
hotel,rqhof3eo3ccww1itbquu765a,offers (hotel root),2,2,true
hotel,rqhof3eo3ccww1itbquu765a,"hotel_galleries (gallery page, capped at 48)",2,3,true
hotel,glk2wfzrstdbocv6bpstqswh,rooms (listing page),6,0,false
hotel,glk2wfzrstdbocv6bpstqswh,rooms (hotel root),6,0,false
hotel,glk2wfzrstdbocv6bpstqswh,dinings (listing page),1,1,true
hotel,glk2wfzrstdbocv6bpstqswh,dinings (hotel root),1,0,false
hotel,glk2wfzrstdbocv6bpstqswh,banquets (listing page),3,3,true
hotel,glk2wfzrstdbocv6bpstqswh,banquets (hotel root),3,3,true
hotel,glk2wfzrstdbocv6bpstqswh,"hotel_galleries (gallery page, capped at 48)",41,42,true
hotel,in0kis219t8nbhztema6bsmn,rooms (listing page),3,0,false
hotel,in0kis219t8nbhztema6bsmn,rooms (hotel root),3,0,false
hotel,in0kis219t8nbhztema6bsmn,dinings (listing page),1,1,true
hotel,in0kis219t8nbhztema6bsmn,dinings (hotel root),1,0,false
hotel,in0kis219t8nbhztema6bsmn,banquets (listing page),1,1,true
hotel,in0kis219t8nbhztema6bsmn,banquets (hotel root),1,1,true
hotel,in0kis219t8nbhztema6bsmn,attractions (listing page),1,1,true
hotel,in0kis219t8nbhztema6bsmn,offers (hotel root),1,1,true
hotel,in0kis219t8nbhztema6bsmn,"hotel_galleries (gallery page, capped at 48)",30,31,true
hotel,xliva2mj2oisblywnnmzb4io,rooms (listing page),4,0,false
hotel,xliva2mj2oisblywnnmzb4io,rooms (hotel root),4,0,false
hotel,xliva2mj2oisblywnnmzb4io,dinings (listing page),2,2,true
hotel,xliva2mj2oisblywnnmzb4io,dinings (hotel root),2,0,false
hotel,xliva2mj2oisblywnnmzb4io,attractions (listing page),1,1,true
hotel,xliva2mj2oisblywnnmzb4io,offers (hotel root),1,1,true
hotel,xliva2mj2oisblywnnmzb4io,"hotel_galleries (gallery page, capped at 48)",21,22,true
hotel,myzp4bufrciaeqa1f7hwnthq,rooms (listing page),4,0,false
hotel,myzp4bufrciaeqa1f7hwnthq,rooms (hotel root),4,0,false
hotel,myzp4bufrciaeqa1f7hwnthq,dinings (listing page),2,2,true
hotel,myzp4bufrciaeqa1f7hwnthq,dinings (hotel root),2,0,false
hotel,myzp4bufrciaeqa1f7hwnthq,attractions (listing page),1,1,true
hotel,myzp4bufrciaeqa1f7hwnthq,offers (hotel root),1,1,true
hotel,myzp4bufrciaeqa1f7hwnthq,"hotel_galleries (gallery page, capped at 48)",48,49,true
hotel,jlgiovfnn7iwclcfq1tst38o,rooms (listing page),2,0,false
hotel,jlgiovfnn7iwclcfq1tst38o,rooms (hotel root),2,0,false
hotel,jlgiovfnn7iwclcfq1tst38o,dinings (listing page),1,1,true
hotel,jlgiovfnn7iwclcfq1tst38o,dinings (hotel root),1,0,false
hotel,jlgiovfnn7iwclcfq1tst38o,banquets (listing page),1,1,true
hotel,jlgiovfnn7iwclcfq1tst38o,banquets (hotel root),1,1,true
hotel,jlgiovfnn7iwclcfq1tst38o,attractions (listing page),1,1,true
hotel,jlgiovfnn7iwclcfq1tst38o,offers (hotel root),5,5,true
hotel,jlgiovfnn7iwclcfq1tst38o,"hotel_galleries (gallery page, capped at 48)",35,36,true
hotel,nheqorhkiaxribfpkk6qffzt,rooms (listing page),4,0,false
hotel,nheqorhkiaxribfpkk6qffzt,rooms (hotel root),4,0,false
hotel,nheqorhkiaxribfpkk6qffzt,dinings (listing page),4,4,true
hotel,nheqorhkiaxribfpkk6qffzt,dinings (hotel root),4,0,false
hotel,nheqorhkiaxribfpkk6qffzt,banquets (listing page),1,1,true
hotel,nheqorhkiaxribfpkk6qffzt,banquets (hotel root),1,1,true
hotel,nheqorhkiaxribfpkk6qffzt,attractions (listing page),1,1,true
hotel,nheqorhkiaxribfpkk6qffzt,offers (hotel root),1,1,true
hotel,nheqorhkiaxribfpkk6qffzt,"hotel_galleries (gallery page, capped at 48)",35,36,true
hotel,pi0kgqvv2mby22nmi5va3i5j,rooms (listing page),6,0,false
hotel,pi0kgqvv2mby22nmi5va3i5j,rooms (hotel root),6,0,false
hotel,pi0kgqvv2mby22nmi5va3i5j,dinings (listing page),2,2,true
hotel,pi0kgqvv2mby22nmi5va3i5j,dinings (hotel root),2,0,false
hotel,pi0kgqvv2mby22nmi5va3i5j,banquets (listing page),7,7,true
hotel,pi0kgqvv2mby22nmi5va3i5j,banquets (hotel root),7,7,true
hotel,pi0kgqvv2mby22nmi5va3i5j,"hotel_galleries (gallery page, capped at 48)",27,28,true
hotel,nj93qgtto0lgesdjc499yrd2,rooms (listing page),4,0,false
hotel,nj93qgtto0lgesdjc499yrd2,rooms (hotel root),4,0,false
hotel,nj93qgtto0lgesdjc499yrd2,dinings (listing page),2,2,true
hotel,nj93qgtto0lgesdjc499yrd2,dinings (hotel root),2,0,false
hotel,nj93qgtto0lgesdjc499yrd2,attractions (listing page),1,1,true
hotel,nj93qgtto0lgesdjc499yrd2,offers (hotel root),1,1,true
hotel,nj93qgtto0lgesdjc499yrd2,"hotel_galleries (gallery page, capped at 48)",26,27,true
hotel,gl4vmpykhppii6cv6a6eutbz,rooms (listing page),5,0,false
hotel,gl4vmpykhppii6cv6a6eutbz,rooms (hotel root),5,0,false
hotel,gl4vmpykhppii6cv6a6eutbz,"hotel_galleries (gallery page, capped at 48)",22,23,true
hotel,oxljj6tebeltew10ljuqnbcs,rooms (listing page),3,0,false
hotel,oxljj6tebeltew10ljuqnbcs,rooms (hotel root),3,0,false
hotel,oxljj6tebeltew10ljuqnbcs,dinings (listing page),2,2,true
hotel,oxljj6tebeltew10ljuqnbcs,dinings (hotel root),2,0,false
hotel,oxljj6tebeltew10ljuqnbcs,banquets (listing page),1,1,true
hotel,oxljj6tebeltew10ljuqnbcs,banquets (hotel root),1,1,true
hotel,oxljj6tebeltew10ljuqnbcs,attractions (listing page),1,1,true
hotel,oxljj6tebeltew10ljuqnbcs,offers (hotel root),1,1,true
hotel,oxljj6tebeltew10ljuqnbcs,"hotel_galleries (gallery page, capped at 48)",40,41,true
hotel,zhdk257u85fi0awyg3tpxwrt,rooms (listing page),3,0,false
hotel,zhdk257u85fi0awyg3tpxwrt,rooms (hotel root),3,0,false
hotel,zhdk257u85fi0awyg3tpxwrt,dinings (listing page),3,3,true
hotel,zhdk257u85fi0awyg3tpxwrt,dinings (hotel root),3,0,false
hotel,zhdk257u85fi0awyg3tpxwrt,banquets (listing page),1,1,true
hotel,zhdk257u85fi0awyg3tpxwrt,banquets (hotel root),1,1,true
hotel,zhdk257u85fi0awyg3tpxwrt,attractions (listing page),1,1,true
hotel,zhdk257u85fi0awyg3tpxwrt,offers (hotel root),1,1,true
hotel,zhdk257u85fi0awyg3tpxwrt,"hotel_galleries (gallery page, capped at 48)",18,19,true
hotel,kyixj09apb6tuuo9448fzoto,rooms (listing page),3,0,false
hotel,kyixj09apb6tuuo9448fzoto,rooms (hotel root),3,0,false
hotel,kyixj09apb6tuuo9448fzoto,dinings (listing page),1,1,true
hotel,kyixj09apb6tuuo9448fzoto,dinings (hotel root),1,0,false
hotel,kyixj09apb6tuuo9448fzoto,banquets (listing page),4,4,true
hotel,kyixj09apb6tuuo9448fzoto,banquets (hotel root),4,4,true
hotel,kyixj09apb6tuuo9448fzoto,"hotel_galleries (gallery page, capped at 48)",42,43,true
hotel,a8yzgu7kccovpvtki1a8of7w,rooms (listing page),3,0,false
hotel,a8yzgu7kccovpvtki1a8of7w,rooms (hotel root),3,0,false
hotel,a8yzgu7kccovpvtki1a8of7w,dinings (listing page),1,1,true
hotel,a8yzgu7kccovpvtki1a8of7w,dinings (hotel root),1,0,false
hotel,a8yzgu7kccovpvtki1a8of7w,"hotel_galleries (gallery page, capped at 48)",33,34,true
hotel,cvezpiutdrsntdy2ttr9vbwq,rooms (listing page),3,0,false
hotel,cvezpiutdrsntdy2ttr9vbwq,rooms (hotel root),3,0,false
hotel,cvezpiutdrsntdy2ttr9vbwq,dinings (listing page),2,2,true
hotel,cvezpiutdrsntdy2ttr9vbwq,dinings (hotel root),2,0,false
hotel,cvezpiutdrsntdy2ttr9vbwq,banquets (listing page),1,1,true
hotel,cvezpiutdrsntdy2ttr9vbwq,banquets (hotel root),1,1,true
hotel,cvezpiutdrsntdy2ttr9vbwq,attractions (listing page),1,1,true
hotel,cvezpiutdrsntdy2ttr9vbwq,offers (hotel root),1,1,true
hotel,cvezpiutdrsntdy2ttr9vbwq,"hotel_galleries (gallery page, capped at 48)",17,18,true
hotel,zbdydapaezsdchbhigwbzw71,rooms (listing page),4,0,false
hotel,zbdydapaezsdchbhigwbzw71,rooms (hotel root),4,0,false
hotel,zbdydapaezsdchbhigwbzw71,dinings (listing page),2,2,true
hotel,zbdydapaezsdchbhigwbzw71,dinings (hotel root),2,0,false
hotel,zbdydapaezsdchbhigwbzw71,attractions (listing page),1,1,true
hotel,zbdydapaezsdchbhigwbzw71,offers (hotel root),1,1,true
hotel,zbdydapaezsdchbhigwbzw71,"hotel_galleries (gallery page, capped at 48)",53,49,true
hotel,eshvg3smsdhll8od16ofykzn,rooms (listing page),6,0,false
hotel,eshvg3smsdhll8od16ofykzn,rooms (hotel root),6,0,false
hotel,eshvg3smsdhll8od16ofykzn,dinings (listing page),1,1,true
hotel,eshvg3smsdhll8od16ofykzn,dinings (hotel root),1,0,false
hotel,eshvg3smsdhll8od16ofykzn,banquets (listing page),2,2,true
hotel,eshvg3smsdhll8od16ofykzn,banquets (hotel root),2,2,true
hotel,eshvg3smsdhll8od16ofykzn,"hotel_galleries (gallery page, capped at 48)",52,49,true
hotel,wwvbmh6fki9v5xfb9ifbdymi,rooms (listing page),3,0,false
hotel,wwvbmh6fki9v5xfb9ifbdymi,rooms (hotel root),3,0,false
hotel,wwvbmh6fki9v5xfb9ifbdymi,dinings (listing page),2,2,true
hotel,wwvbmh6fki9v5xfb9ifbdymi,dinings (hotel root),2,0,false
hotel,wwvbmh6fki9v5xfb9ifbdymi,banquets (listing page),3,3,true
hotel,wwvbmh6fki9v5xfb9ifbdymi,banquets (hotel root),3,3,true
hotel,wwvbmh6fki9v5xfb9ifbdymi,"hotel_galleries (gallery page, capped at 48)",49,49,true
hotel,kylyag77ozfu7dw4fge295xl,rooms (listing page),6,0,false
hotel,kylyag77ozfu7dw4fge295xl,rooms (hotel root),6,0,false
hotel,kylyag77ozfu7dw4fge295xl,dinings (listing page),3,3,true
hotel,kylyag77ozfu7dw4fge295xl,dinings (hotel root),3,0,false
hotel,kylyag77ozfu7dw4fge295xl,banquets (listing page),1,1,true
hotel,kylyag77ozfu7dw4fge295xl,banquets (hotel root),1,1,true
hotel,kylyag77ozfu7dw4fge295xl,attractions (listing page),1,1,true
hotel,kylyag77ozfu7dw4fge295xl,offers (hotel root),5,5,true
hotel,kylyag77ozfu7dw4fge295xl,"hotel_galleries (gallery page, capped at 48)",29,30,true
hotel,lrfe2tp0kn5yferboipi6fjc,rooms (listing page),4,0,false
hotel,lrfe2tp0kn5yferboipi6fjc,rooms (hotel root),4,0,false
hotel,lrfe2tp0kn5yferboipi6fjc,dinings (listing page),2,2,true
hotel,lrfe2tp0kn5yferboipi6fjc,dinings (hotel root),2,0,false
hotel,lrfe2tp0kn5yferboipi6fjc,banquets (listing page),3,3,true
hotel,lrfe2tp0kn5yferboipi6fjc,banquets (hotel root),3,3,true
hotel,lrfe2tp0kn5yferboipi6fjc,"hotel_galleries (gallery page, capped at 48)",35,36,true
hotel,bbjcv7jcjmz1n85wljcjftqj,rooms (listing page),3,0,false
hotel,bbjcv7jcjmz1n85wljcjftqj,rooms (hotel root),3,0,false
hotel,bbjcv7jcjmz1n85wljcjftqj,dinings (listing page),1,1,true
hotel,bbjcv7jcjmz1n85wljcjftqj,dinings (hotel root),1,0,false
hotel,bbjcv7jcjmz1n85wljcjftqj,"hotel_galleries (gallery page, capped at 48)",13,14,true
hotel,cn1xygizaysd9wumjcv5exkl,rooms (listing page),3,0,false
hotel,cn1xygizaysd9wumjcv5exkl,rooms (hotel root),3,0,false
hotel,cn1xygizaysd9wumjcv5exkl,banquets (listing page),1,1,true
hotel,cn1xygizaysd9wumjcv5exkl,banquets (hotel root),1,1,true
hotel,cn1xygizaysd9wumjcv5exkl,"hotel_galleries (gallery page, capped at 48)",15,16,true
hotel,bmtx3bphwi1k401p89ritkvp,rooms (listing page),6,0,false
hotel,bmtx3bphwi1k401p89ritkvp,rooms (hotel root),6,0,false
hotel,bmtx3bphwi1k401p89ritkvp,dinings (listing page),1,1,true
hotel,bmtx3bphwi1k401p89ritkvp,dinings (hotel root),1,0,false
hotel,bmtx3bphwi1k401p89ritkvp,banquets (listing page),2,2,true
hotel,bmtx3bphwi1k401p89ritkvp,banquets (hotel root),2,2,true
hotel,bmtx3bphwi1k401p89ritkvp,offers (hotel root),2,2,true
hotel,bmtx3bphwi1k401p89ritkvp,"hotel_galleries (gallery page, capped at 48)",55,49,true
hotel,tgxknqo7yxdn0g6gy6pdwe5g,rooms (listing page),4,0,false
hotel,tgxknqo7yxdn0g6gy6pdwe5g,rooms (hotel root),4,0,false
hotel,tgxknqo7yxdn0g6gy6pdwe5g,dinings (listing page),1,1,true
hotel,tgxknqo7yxdn0g6gy6pdwe5g,dinings (hotel root),1,0,false
hotel,tgxknqo7yxdn0g6gy6pdwe5g,attractions (listing page),1,1,true
hotel,tgxknqo7yxdn0g6gy6pdwe5g,"hotel_galleries (gallery page, capped at 48)",20,21,true
hotel,gpj43v7o7gtk0y7yntzr28my,rooms (listing page),8,0,false
hotel,gpj43v7o7gtk0y7yntzr28my,rooms (hotel root),8,0,false
hotel,gpj43v7o7gtk0y7yntzr28my,dinings (listing page),2,2,true
hotel,gpj43v7o7gtk0y7yntzr28my,dinings (hotel root),2,0,false
hotel,gpj43v7o7gtk0y7yntzr28my,banquets (listing page),1,1,true
hotel,gpj43v7o7gtk0y7yntzr28my,banquets (hotel root),1,1,true
hotel,gpj43v7o7gtk0y7yntzr28my,offers (hotel root),3,3,true
hotel,gpj43v7o7gtk0y7yntzr28my,"hotel_galleries (gallery page, capped at 48)",66,49,true
hotel,zkf3jgbetp7dsrj3mwbb6qj9,rooms (listing page),2,0,false
hotel,zkf3jgbetp7dsrj3mwbb6qj9,rooms (hotel root),2,0,false
hotel,zkf3jgbetp7dsrj3mwbb6qj9,dinings (listing page),2,2,true
hotel,zkf3jgbetp7dsrj3mwbb6qj9,dinings (hotel root),2,0,false
hotel,zkf3jgbetp7dsrj3mwbb6qj9,"hotel_galleries (gallery page, capped at 48)",9,10,true
hotel,mxkwek8pauu2zl96w5s0p353,rooms (listing page),4,0,false
hotel,mxkwek8pauu2zl96w5s0p353,rooms (hotel root),4,0,false
hotel,mxkwek8pauu2zl96w5s0p353,dinings (listing page),2,2,true
hotel,mxkwek8pauu2zl96w5s0p353,dinings (hotel root),2,0,false
hotel,mxkwek8pauu2zl96w5s0p353,banquets (listing page),7,7,true
hotel,mxkwek8pauu2zl96w5s0p353,banquets (hotel root),7,7,true
hotel,mxkwek8pauu2zl96w5s0p353,"hotel_galleries (gallery page, capped at 48)",23,24,true
hotel,vpev1rnivzb43qifo0dksqbq,rooms (listing page),6,0,false
hotel,vpev1rnivzb43qifo0dksqbq,rooms (hotel root),6,0,false
hotel,vpev1rnivzb43qifo0dksqbq,dinings (listing page),1,1,true
hotel,vpev1rnivzb43qifo0dksqbq,dinings (hotel root),1,0,false
hotel,vpev1rnivzb43qifo0dksqbq,banquets (listing page),8,8,true
hotel,vpev1rnivzb43qifo0dksqbq,banquets (hotel root),8,8,true
hotel,vpev1rnivzb43qifo0dksqbq,"hotel_galleries (gallery page, capped at 48)",11,12,true
hotel,yl7977lzdf050nx76202p8x0,rooms (listing page),2,0,false
hotel,yl7977lzdf050nx76202p8x0,rooms (hotel root),2,0,false
hotel,yl7977lzdf050nx76202p8x0,dinings (listing page),3,3,true
hotel,yl7977lzdf050nx76202p8x0,dinings (hotel root),3,0,false
hotel,yl7977lzdf050nx76202p8x0,banquets (listing page),5,5,true
hotel,yl7977lzdf050nx76202p8x0,banquets (hotel root),5,5,true
hotel,yl7977lzdf050nx76202p8x0,"hotel_galleries (gallery page, capped at 48)",35,36,true
hotel,ag0ne7ux6h82mi0ufls4pgtk,rooms (listing page),5,0,false
hotel,ag0ne7ux6h82mi0ufls4pgtk,rooms (hotel root),5,0,false
hotel,ag0ne7ux6h82mi0ufls4pgtk,dinings (listing page),1,1,true
hotel,ag0ne7ux6h82mi0ufls4pgtk,dinings (hotel root),1,0,false
hotel,ag0ne7ux6h82mi0ufls4pgtk,banquets (listing page),4,4,true
hotel,ag0ne7ux6h82mi0ufls4pgtk,banquets (hotel root),4,4,true
hotel,ag0ne7ux6h82mi0ufls4pgtk,"hotel_galleries (gallery page, capped at 48)",58,49,true
hotel,exqs3n9e3rg4os6w2veyccb8,rooms (listing page),6,0,false
hotel,exqs3n9e3rg4os6w2veyccb8,rooms (hotel root),6,0,false
hotel,exqs3n9e3rg4os6w2veyccb8,dinings (listing page),3,3,true
hotel,exqs3n9e3rg4os6w2veyccb8,dinings (hotel root),3,0,false
hotel,exqs3n9e3rg4os6w2veyccb8,banquets (listing page),1,1,true
hotel,exqs3n9e3rg4os6w2veyccb8,banquets (hotel root),1,1,true
hotel,exqs3n9e3rg4os6w2veyccb8,attractions (listing page),1,1,true
hotel,exqs3n9e3rg4os6w2veyccb8,offers (hotel root),7,7,true
hotel,exqs3n9e3rg4os6w2veyccb8,"hotel_galleries (gallery page, capped at 48)",44,45,true
hotel,oycar1zhbavm4r2f4j35fkm6,rooms (listing page),6,0,false
hotel,oycar1zhbavm4r2f4j35fkm6,rooms (hotel root),6,0,false
hotel,oycar1zhbavm4r2f4j35fkm6,dinings (listing page),2,2,true
hotel,oycar1zhbavm4r2f4j35fkm6,dinings (hotel root),2,0,false
hotel,oycar1zhbavm4r2f4j35fkm6,"hotel_galleries (gallery page, capped at 48)",72,49,true
hotel,dzceu61lxiy9w6jhj8k2t3j4,rooms (listing page),3,0,false
hotel,dzceu61lxiy9w6jhj8k2t3j4,rooms (hotel root),3,0,false
hotel,dzceu61lxiy9w6jhj8k2t3j4,dinings (listing page),3,3,true
hotel,dzceu61lxiy9w6jhj8k2t3j4,dinings (hotel root),3,0,false
hotel,dzceu61lxiy9w6jhj8k2t3j4,banquets (listing page),1,1,true
hotel,dzceu61lxiy9w6jhj8k2t3j4,banquets (hotel root),1,1,true
hotel,dzceu61lxiy9w6jhj8k2t3j4,attractions (listing page),1,1,true
hotel,dzceu61lxiy9w6jhj8k2t3j4,"hotel_galleries (gallery page, capped at 48)",18,19,true
hotel,ubmswdq1c1g6cfhwrp4q7lc2,rooms (listing page),5,0,false
hotel,ubmswdq1c1g6cfhwrp4q7lc2,rooms (hotel root),5,0,false
hotel,ubmswdq1c1g6cfhwrp4q7lc2,dinings (listing page),3,3,true
hotel,ubmswdq1c1g6cfhwrp4q7lc2,dinings (hotel root),3,0,false
hotel,ubmswdq1c1g6cfhwrp4q7lc2,banquets (listing page),1,1,true
hotel,ubmswdq1c1g6cfhwrp4q7lc2,banquets (hotel root),1,1,true
hotel,ubmswdq1c1g6cfhwrp4q7lc2,attractions (listing page),1,1,true
hotel,ubmswdq1c1g6cfhwrp4q7lc2,"hotel_galleries (gallery page, capped at 48)",2,3,true
hotel,wm4irbpis6w0bbd7mtwucuks,rooms (listing page),3,0,false
hotel,wm4irbpis6w0bbd7mtwucuks,rooms (hotel root),3,0,false
hotel,wm4irbpis6w0bbd7mtwucuks,dinings (listing page),2,2,true
hotel,wm4irbpis6w0bbd7mtwucuks,dinings (hotel root),2,0,false
hotel,wm4irbpis6w0bbd7mtwucuks,banquets (listing page),1,1,true
hotel,wm4irbpis6w0bbd7mtwucuks,banquets (hotel root),1,1,true
hotel,wm4irbpis6w0bbd7mtwucuks,attractions (listing page),1,1,true
hotel,wm4irbpis6w0bbd7mtwucuks,offers (hotel root),1,1,true
hotel,wm4irbpis6w0bbd7mtwucuks,"hotel_galleries (gallery page, capped at 48)",2,3,true
hotel,z0upqx69ydricmx0x7oluej9,rooms (listing page),12,0,false
hotel,z0upqx69ydricmx0x7oluej9,rooms (hotel root),12,0,false
hotel,z0upqx69ydricmx0x7oluej9,dinings (listing page),3,3,true
hotel,z0upqx69ydricmx0x7oluej9,dinings (hotel root),3,0,false
hotel,z0upqx69ydricmx0x7oluej9,banquets (listing page),3,3,true
hotel,z0upqx69ydricmx0x7oluej9,banquets (hotel root),3,3,true
hotel,z0upqx69ydricmx0x7oluej9,"hotel_galleries (gallery page, capped at 48)",2,3,true
hotel,rv3gyw02f35a4hofvyr7no2s,rooms (listing page),7,0,false
hotel,rv3gyw02f35a4hofvyr7no2s,rooms (hotel root),7,0,false
hotel,rv3gyw02f35a4hofvyr7no2s,dinings (listing page),2,2,true
hotel,rv3gyw02f35a4hofvyr7no2s,dinings (hotel root),2,0,false
hotel,rv3gyw02f35a4hofvyr7no2s,banquets (listing page),4,4,true
